"","genes","logFC","logCPM","F","PValue","FDR"
"35209","Xist",-0.450060285010175,3.4736716117398,1.47975678592105,0.267028956657272,0.290534946894074
"8580","Gid4",-0.0803938452367177,5.22167463354629,1.27634320291491,0.267341147039696,0.290849905509202
"25454","Mrps28",-0.0836107798589645,4.75188084996451,1.27556609303127,0.267483911743153,0.290980502070434
"30165","Rnf111",0.0633311661340282,5.9903006550102,1.27196353032584,0.268147035569979,0.291677097389872
"6897","Dyrk1a",-0.0662664379911108,6.49112762630574,1.27442198190732,0.268637583198711,0.292185870454387
"20310","Itgb1bp1",-0.0730350482896766,5.39927410926884,1.26758213985079,0.268956385339872,0.292507772573217
"31518","Slc44a2",-0.0822006246766777,4.93523226557816,1.26289743497067,0.26982526427768,0.293427813934241
"34577","Vegfb",-0.0786463149113053,4.93212828629297,1.25592335051717,0.271125502717934,0.294816751214601
"3533","B3galnt2",0.0634591860344483,5.88461767791538,1.24903985887714,0.272416826144089,0.296195759427279
"6992","Ebi3",0.44714667891256,0.0086205162137932,1.2385118457137,0.27440733599432,0.298334686483891
"22994","Lcmt1",0.0960965409038543,4.56279322161471,1.23752648085297,0.274594602752301,0.298512937281876
"23517","Magohb",0.192217806504624,2.50026402572441,1.2372110488253,0.274654585130349,0.298552798182862
"3593","BC003965",-0.11747647714578,4.17855171722313,1.23798337135491,0.274917374048847,0.298813086724003
"32877","Tbk1",-0.0555889490963932,6.44701073288674,1.23044983213183,0.275944402431767,0.299903927443454
"4179","Cacfd1",0.106188347005993,4.04526247936482,1.22674192257197,0.276655097745914,0.30065081275027
"28907","Ppdpf",0.126935844904258,3.65295272211544,1.2262750814525,0.276744746119538,0.300722715042488
"3614","BC024978",-0.195628250792392,2.31546062145154,1.22567010720118,0.276860976765904,0.300823488119423
"31145","Shmt2",-0.0393577659971418,8.1100105710749,1.22323256153914,0.277329935102691,0.301307468096891
"3446","Atpaf1",0.190713368881543,2.36377276597976,1.2192158228611,0.278104975300247,0.302123882982919
"6467","Dgcr14",-0.0892211115184443,4.83750160380436,1.21828980723544,0.278284052986338,0.302292780665937
"7138","Eif3i",0.0543735478448087,7.10894100759289,1.21686006146052,0.278670445155421,0.302686830962352
"29865","Rcbtb1",0.0635434322473162,5.90207746141644,1.21357683004421,0.279197808394319,0.303233921669996
"25424","Mrpl46",0.0875095434769509,4.80272428998738,1.21035128142471,0.279825438985026,0.303889809702591
"28880","Pou2f1",-0.186354290409339,5.9556185065062,1.38334576380097,0.280284905938346,0.30436297664014
"35348","Zbtb6",-0.0817612369395091,4.80141550607943,1.20510897053002,0.280849431788368,0.304950137713055
"3528","B230369F24Rik",0.498034405614719,-0.101495947307986,1.2038902643599,0.281088186064096,0.305183501996841
"23261","Lrpprc",0.0543074680221748,6.68097789906184,1.19874273562935,0.282099562624716,0.306255608258541
"33717","Toporsos",0.332910668466431,0.865457380281102,1.19674841508703,0.282492683018861,0.306656392510725
"30851","Secisbp2",0.0662450261394845,6.05122134484193,1.19427278239741,0.283017758971166,0.307200339376603
"32551","Sulf2",-0.0484071720150304,7.41772460857803,1.19284247110115,0.283264703894438,0.307442323560627
"6122","D330050I16Rik",-0.15497888824449,3.04529168491662,1.19056813164709,0.283715507506386,0.307905506705591
"7677","Fam192a",0.0482531231283293,6.85754583459584,1.1901707367007,0.28379437285447,0.307964995288262
"35","1110008P14Rik",0.0904836826151883,4.54020954062923,1.18897808352778,0.284031234512234,0.308195912035349
"25452","Mrps26",0.0734926467256445,5.16653861986546,1.18710389461536,0.284403973743599,0.308574214860768
"29172","Prmt7",0.0561083269640154,6.28078058268119,1.18681226778277,0.284462030254826,0.308611056291879
"5100","Chm",0.0637163739193884,5.66783519504338,1.1865659241006,0.284511083999161,0.308638125263407
"7005","Eci1",-0.101492961060244,4.17537490992558,1.18639992993074,0.284544144224135,0.308647841320631
"34491","Usp36",-0.0705215475574027,5.33050972691886,1.18538372056552,0.284746647475043,0.308841336686255
"2106","AW146154",-0.235513985743724,1.84864767180506,1.18354503951234,0.28511352825266,0.309213070998163
"5269","Clec11a",0.353695517102364,1.05478601718688,1.1789856653921,0.286061837668587,0.310215263494771
"7378","Erlin1",0.039313375237845,7.96015573170258,1.17217783651722,0.287395522354689,0.311635165022593
"8547","Gfpt1",0.0496735970378039,7.23680724826881,1.17030872455613,0.287773047785477,0.312018109813128
"28910","Ppfia1",-0.0541805380049537,6.61280604135386,1.1688669685028,0.288064701376637,0.312307891044605
"21013","LOC101056014",-0.255685886195463,1.66731958635391,1.16063431635566,0.289737569096897,0.314094951937502
"20408","Kansl3",0.0546846515953279,6.75279832981678,1.15922927026586,0.290024351329381,0.314370384338327
"26229","Nol11",0.0559521956864943,6.62223644121011,1.1591490146513,0.290040743504334,0.314370384338327
"19613","Hmgn3",0.106366634202185,4.27316209817433,1.1580984870016,0.290321990302776,0.314648589574866
"34437","Uqcrq",0.0557166137126166,6.71440737765612,1.15544246312346,0.290799138724632,0.315139046324383
"29901","Recql",-0.0550009592868775,6.19783623639007,1.1508022203666,0.291752270021479,0.316145199088181
"26387","Nsa2",0.0464572825594184,7.56281336607102,1.14977493082539,0.291963838581003,0.316347685989994
"32460","Stk24",0.0424476283576143,7.41863000656982,1.14391766352884,0.29317401546734,0.317632055847304
"31203","Six5",0.18396788481451,2.31238913600408,1.14270086742294,0.2934262509436,0.317878438522233
"1993","A930004D18Rik",0.176002245454919,2.23963174918614,1.13742555538944,0.294523123692896,0.319039725817404
"33689","Toe1",0.0676940808486967,5.44165944928716,1.13645694981237,0.294725111364713,0.319231521825846
"8455","Gatad2b",-0.0774356208441425,7.21974079961189,1.19553601908502,0.294825191288865,0.319312913342968
"3799","Bcs1l",0.108405905060653,3.79047760992158,1.13540816274889,0.29494402663592,0.319414602594127
"3265","Ascc3",-0.0661524135889894,6.10920943051955,1.13356451395208,0.295700989070948,0.320207286685285
"5316","Clk3",-0.0578544012743509,5.95433015590032,1.12663043719002,0.296784697740374,0.321353632214231
"2096","AU041133",-0.29602703680607,1.29073686539883,1.12590002968343,0.297128935699383,0.321699164761191
"29007","Ppp2r5a",-0.0402966756873291,7.93963218851243,1.12025232534577,0.298131749314651,0.322757613288307
"26377","Nrp",-0.491296643165082,0.0383194128069424,1.11924323135218,0.298719211213041,0.323366260849015
"23396","Luzp1",0.0573735575809265,6.51385139466417,1.11158651967666,0.299975014737669,0.324698230238026
"30543","Rwdd2a",-0.386886672309926,0.439012086202244,1.1080568818734,0.300730136173859,0.325488073172705
"33189","Tigd3",0.192417472296534,2.24690478859673,1.10443772449086,0.301507041623121,0.326301358010823
"21326","LOC102640526",0.391615333272453,0.450475127147102,1.09843770219495,0.302800943174795,0.327673969183914
"28843","Polr3b",0.0681150966711215,5.37547149621029,1.0960261439951,0.303323082690511,0.328211261944566
"32270","Sra1",-0.0635877314473248,5.56835530766885,1.08981079910417,0.304674358595153,0.329645556553522
"31718","Smg9",-0.0651402309186556,5.37940668769047,1.08548962532756,0.305618571738369,0.330639220269502
"32126","Spcs2",-0.0446985525119448,7.48613584051178,1.08163349523259,0.306464479812402,0.331526371884583
"21175","LOC102636360",0.48315440483789,-0.0851354786621032,1.08103837184981,0.306595309607111,0.331639883385627
"31781","Snai3",-0.334604029091718,0.608502474405098,1.07865807291894,0.307119335165795,0.332178654176704
"35836","Zfyve27",0.0653210713188246,5.59741561178067,1.07626395354732,0.307647615493624,0.332721935506406
"19606","Hmgcl",-0.0698587956610962,5.65832996701149,1.07622407036654,0.307732898288443,0.332786062206192
"45","1110032A03Rik",0.206560489225356,2.30378027635455,1.07571915330974,0.307954359187688,0.332997430281907
"34351","Ugp2",0.0565849531373535,6.28112348138245,1.07215620222668,0.308556865842595,0.333599897708885
"35884","Zmynd15",-0.36538965642823,0.427090845634706,1.0721257374597,0.308563622683642,0.333599897708885
"23690","Mblac1",-0.178879074828884,2.36329565724944,1.07155624178179,0.308689968841486,0.33370832005194
"25495","Msh3",0.0630842909456383,5.66613022470815,1.07141506271541,0.308721301041641,0.333714018220345
"35866","Zmat1",-0.179545761995553,2.23543447389746,1.07083581430698,0.308849899718602,0.333824847294395
"7785","Fam76b",0.0670261980301917,5.3426804728865,1.06875367084655,0.30931275012935,0.334274088013941
"28810","Poldip3",-0.0397903796867152,7.56170389838323,1.06873124373886,0.309317740638593,0.334274088013941
"28857","Pomgnt1",-0.0651313497386243,5.47345285838528,1.06744959949509,0.309603113672205,0.334554250681231
"28981","Ppp1r37",0.071976222593689,5.4087382046503,1.06493053565764,0.310165044955109,0.335133187127683
"33136","Thap7",0.0742077094606615,4.91280972313706,1.05725619302994,0.311885453482928,0.33696365439157
"19459","Hexdc",-0.164159630651119,2.93416629976638,1.05216862646994,0.313096700936359,0.338243757317985
"23621","Mapkapk5",-0.0520669141603553,6.3450572426198,1.05043479147787,0.313425461730693,0.338570359158218
"3337","Atg2a",0.0641993268951171,6.72798327173648,1.05869240113109,0.315264033910572,0.340527705965827
"28950","Ppp1cc",-0.0423932525343245,7.36347510307071,1.03893937789523,0.316043989916559,0.341341370688389
"2353","Actr8",0.0649002742062029,5.27846034652196,1.03133658548159,0.317792100171129,0.343200459027689
"4355","Catsper2",-0.293037130290479,1.03050694194137,1.02347936577654,0.319612510340449,0.345137307717107
"19395","Hdac3",-0.0483251547021858,6.65303104005222,1.02281645703427,0.319766743962983,0.345274741246817
"5478","Col25a1",-0.202082783462267,2.34657685803244,1.02378308851512,0.320181153812013,0.345693058563476
"6348","Ddx59",0.0823120507140788,4.42638627992372,1.0156949210493,0.321430051628098,0.347012209012544
"26515","Nxf1",0.0379999293675933,7.9156157125143,1.01542045610421,0.321494390921613,0.347052409016292
"28171","Pdcd2l",0.090294258196186,4.45335435165135,1.0050228113397,0.323944748741051,0.349668086287546
"2451","Adcy9",0.0962359443085773,4.12588796168165,1.00487262373086,0.323980328848125,0.349677015416406
"4737","Cdadc1",-0.101167857296417,4.11109272590688,1.0036855990551,0.324261727891581,0.349951236885941
"25994","Nedd4l",0.0565612165911221,6.05471174682227,1.00158531552537,0.324760444050272,0.350459926349548
"30296","Rp9",-0.0646100579586072,5.56455635472937,0.999753358300637,0.325196300987002,0.350888659105579
"27987","Parn",0.0739738451523609,4.88554978160005,0.999685158291082,0.325212542465054,0.350888659105579
"27878","P2ry14",-0.059626086102904,5.7882828048305,0.999406227732837,0.325278979861483,0.350930772358774
"816","3110040N11Rik",0.127745662016766,3.25055098231792,0.997847027978346,0.325650701347343,0.35130220983595
"35879","Zmym5",-0.0640619167625013,5.26505062267273,0.995632936342749,0.326179550615213,0.351833148887816
"32307","Srr",0.124288727896305,3.25358575931197,0.995556517939709,0.326197824568227,0.351833148887816
"20394","Junb",-0.0402740562822528,8.22368590762756,0.994199776428489,0.326596077157394,0.352233030236707
"32592","Surf1",-0.0904598686809843,4.80850193175854,0.998550816974086,0.326853934441113,0.352481441007112
"5344","Cltc",-0.0770090711672556,9.01664148197347,1.08928764197221,0.327041505721012,0.352654019432216
"1153","4930513N10Rik",-0.192517499779358,2.00021203361918,0.991754284442392,0.327108824439296,0.352696909476691
"621","2310001H17Rik",-0.338644163586112,0.0530341368231688,0.991489851580977,0.327172310883132,0.352727859538448
"35752","Zfp84",-0.0909261192001211,4.45011261300735,0.99140526978688,0.327192621288378,0.352727859538448
"34146","Tubb4b",0.0351517175976586,8.35493585759827,0.990379334445134,0.327439113935763,0.352963873553956
"3210","Arpp19",-0.0482482236943947,6.70030407587755,0.988821670926991,0.327813846587221,0.35333807285769
