"","Uninfected_1","Uninfected_2","Uninfected_3","IC2_1","IC2_2","IC2_3","NQY_1","NQY_2","NQY_3"
"Pla2g16",72.1172767551043,66.5970276028014,67.2112524415553,52.9014486358703,51.6047352215351,49.8508083049899,61.1783681259831,60.6771497162909,62.2710569380291
"Pla2g2d",0.093416161599876,0,0,1.63950770565714,2.24368414006674,2.62372675289421,1.51861197475845,2.69898359528807,2.40307770062864
"Pla2g4a",49.9776464559337,47.8610638372133,44.2392905563377,91.0473279208264,84.5420183977148,85.316356137215,83.5236586117146,86.7673244707422,89.0183565624174
"Pla2g4c",2.24198787839702,1.86471677287844,2.75988234663391,2.40461130163047,2.0641894088614,2.53325341658751,2.71180709778294,2.59902123990703,2.50755933978641
"Pla2g5",0,0.355184147214941,0,5.90222774036569,7.44903134502158,5.88076685993529,6.39986475076774,4.49830599214678,8.04508621514805
"Pla2g6",8.03378989758934,9.32358386439219,9.01020413165778,14.5369683234933,13.1031153779898,12.8472137555509,14.6437583280279,12.595256778011,12.7467599772476
"Plaa",150.213187852601,146.335868652556,144.487958147305,177.176132724681,167.827573676992,177.961052515273,178.111490182384,181.131787950443,185.454909505036
"Plag1",0.093416161599876,0,0.16234602039023,6.12082876778665,6.19256822658421,5.42840017840181,5.85750333121115,7.29725194281588,5.53752687536165
"Plagl1",6.35229898879157,9.32358386439219,9.01020413165778,27.4344289413294,30.7833464017157,28.5895742729162,26.0333481387162,36.3862973586984,29.568303881648
"Plagl2",68.567462614309,71.1256254797919,72.0816330532622,32.6808535994323,30.0653674768943,29.9466743175166,26.5757095582728,27.88949715131,26.3293730677573
"Plat",0,0,0,16.1764760291504,17.0519994645072,20.8088673505403,21.5859844983522,20.9920946300183,20.7918461923956
"Plau",50.4447272639331,56.0302992231569,52.194245555459,481.140861353515,488.046174147318,478.694422398733,383.991885046064,344.670201353824,373.626341628174
"Plaur",0,0,0,69.843028260994,64.5283558683195,64.8693821319016,53.1514191165456,60.5771873609099,52.6587461355145
"Plb1",0.093416161599876,0.799164331233616,0.568211071365806,2.07670976049904,2.24368414006674,1.62852005352054,1.51861197475845,1.09958590919143,1.46274294820874
"Plbd1",1331.18030279823,1314.7141209161,1274.17274103272,65.3617071988645,67.8490083956183,66.1360088401953,70.1815676906225,67.1747028160585,70.838551348966
"Plbd2",119.105606039842,118.453913096183,127.685145036916,60.3338835681826,61.7461875346367,59.1695619445797,58.3580887442889,60.4772250055289,57.6738648150873
"Plcb2",283.985131263623,292.316553157896,302.125943946219,18.2531857896495,17.5007362925206,18.9089272880996,16.4877871545203,19.8925087208269,16.6125806260849
"Plcb3",152.455175730998,146.868644873378,160.073176104767,99.6820685039539,96.1194285604592,92.1018563602173,80.7033792300203,90.5658939752217,85.5704624702111
"Plcb4",44.466092921541,38.0934997888024,38.7195258630699,7.86963698715426,5.47458930176285,7.59976024976253,5.96597561512247,8.19691314124523,5.01511867957281
"Plcd1",0.653913131199132,0.17759207360747,0.487038061170691,3.27901541131427,4.39762091453081,4.79508682425493,3.79652993689612,3.99849421524158,3.86582064883738
