"","genes","logFC","logCPM","F","PValue","FDR"
"28378","Phf11a",-4.47014790613418,2.84515932365302,493.87420699726,1.8276339526979e-20,1.86328445575609e-19
"2887","Anks1",-1.39341104963838,5.60358335220982,493.102261820654,1.8694481328722e-20,1.90439803829981e-19
"30836","Sec23a",1.1783299046234,6.54389577898161,492.852917864049,1.88317122782212e-20,1.91685274819254e-19
"25203","Mlkl",1.72123298858608,6.64222598785265,712.269930398281,1.90252282670053e-20,1.93501229514696e-19
"3428","Atp6v1e1",1.17258423697001,6.97867009816686,497.884817590437,1.90852309582511e-20,1.93957446365401e-19
"1687","8030462N17Rik",1.27862406256444,6.30242378099191,491.639106543782,1.951525462613e-20,1.98170369141629e-19
"28250","Pdxp",1.82996426725091,5.12321730403742,490.974905920373,1.99004364990184e-20,2.01921623906443e-19
"29642","Rab8b",-1.04018017418387,7.05472198121205,490.768898264823,2.0021543203265e-20,2.02989596767861e-19
"25448","Mrps22",1.57195970174274,5.56216728570938,490.701587769435,2.00612833174826e-20,2.03231592468643e-19
"33124","Tgs1",-1.34739645234979,5.80300077683882,490.272859471457,2.03163846972926e-20,2.05653206362712e-19
"6433","Dennd1c",-2.13148875226683,4.42577169922,490.213558294156,2.03519411546602e-20,2.05850400067475e-19
"2309","Acsbg1",8.24007241151614,2.99714176295174,489.836904564446,2.05793326444832e-20,2.07986073017054e-19
"32160","Spg21",-1.09682422039593,6.83975634661209,489.766853845783,2.06219209837287e-20,2.08252127915336e-19
"2431","Adar",-1.09931311231455,6.79452123452003,489.272324297744,2.09252612496283e-20,2.11148912767132e-19
"7040","Eef1g",-0.77574890579634,9.85364307007594,489.13512731785,2.10102564141775e-20,2.11839632585467e-19
"34499","Usp44",4.8265876350371,3.06610567169825,488.319590266149,2.15231414277138e-20,2.16840146327203e-19
"26136","Nkd2",5.61159471572014,3.1926184861898,488.05189174518,2.16943891829869e-20,2.1839359550955e-19
"19649","Hnrnpr",-0.992609217283682,7.00149647331691,487.242989176503,2.22207244536633e-20,2.23516399551577e-19
"25331","Mprip",-0.833819081390112,7.80202960211355,486.940557323777,2.24209895383418e-20,2.25353823421089e-19
"7283","Eomes",8.14713770082671,3.07476797824769,486.313697756537,2.28422335231541e-20,2.29407686481559e-19
"31486","Slc38a2",0.788559808071408,8.80163963005366,486.014794610192,2.30460548132378e-20,2.31273300849146e-19
"25900","Ncl",-0.740019031011948,10.5439843896194,485.792609260213,2.3198817368601e-20,2.32624006581782e-19
"3434","Atp6v1h",0.951104251781477,7.40676677780126,485.543387813044,2.33714529408041e-20,2.34171717454614e-19
"20544","Kctd17",-1.68459398780529,5.10881158135867,485.248888341706,2.35772183397978e-20,2.36048694950047e-19
"20130","Impact",1.26273646234043,6.18927502688236,484.875084466244,2.38411766548814e-20,2.38299125124349e-19
"8104","Flot2",-1.51138142213284,5.85344808793441,508.268183422114,2.38540603469938e-20,2.38299125124349e-19
"28600","Plagl2",-1.38984400058313,5.45193583996935,484.851652721045,2.38578272869516e-20,2.38299125124349e-19
"23024","Ldlrad3",4.53905665985735,3.26013250585502,483.22660974169,2.50433574931066e-20,2.49945590568379e-19
"11749","Gm31657",-6.87590605394099,2.37043773082118,482.857097895315,2.53215910577321e-20,2.52525680291479e-19
"7814","Fanca",-1.35865583496252,7.33986951292409,696.230623370135,2.53998593721681e-20,2.53109104482967e-19
"3543","B3gnt2",1.47176268572025,5.9252670033932,481.500531588938,2.63716266079551e-20,2.6258839713442e-19
"26415","Nt5dc3",1.88676555593323,5.11127240445121,481.375793892728,2.64704808249782e-20,2.63367915278824e-19
"20692","Klhl12",2.1486459561164,4.62749606609263,481.288197842436,2.65401362943615e-20,2.63855935752561e-19
"27999","Parp9",-1.48361811111697,5.51986452082682,480.9371166094,2.68212781513414e-20,2.66444116934001e-19
"7070","Efna3",5.07012801845302,3.0139953084009,480.465863738553,2.72036494814591e-20,2.70033125279134e-19
"33675","Tnpo2",-0.947706860600667,7.74805789826547,480.279166394198,2.73567366679418e-20,2.71342380350887e-19
"2066","AI606473",-1.83038036543135,4.92384946624571,478.913343912933,2.85049790371886e-20,2.82512582485449e-19
"7966","Fcrla",-6.56318732773808,2.45256028140077,478.082940654037,2.9228106287341e-20,2.89455453216861e-19
"8116","Fmnl1",-1.40235113139501,5.71953769609369,477.804527866403,2.94749060154609e-20,2.91674011999982e-19
"34117","Ttll3",-2.87916997564909,3.57218991199381,477.172516306937,3.00434315857108e-20,2.97070379501951e-19
"4297","Car12",4.72899313559668,3.14269940417056,476.976277691816,3.0222325667702e-20,2.98608703838676e-19
"23239","Lrig1",5.58888912539852,3.36576645069299,485.887725692628,3.05147274547919e-20,3.01145811816904e-19
"20021","Ik",-0.782151327957639,8.1878049095569,476.645822050097,3.05261432048685e-20,3.01145811816904e-19
"25890","Ncf1",-4.57223564451532,7.04698803141646,2966.24409324996,3.06982145243882e-20,3.02610190134558e-19
"2432","Adarb1",3.07470042430663,4.1174690086885,476.367059726451,3.07849644432265e-20,3.03023665438015e-19
"10618","Gm29779",-0.836470802643059,8.71944070979589,476.364353635527,3.07874883822614e-20,3.03023665438015e-19
"32436","Stau2",1.83460517098932,5.04631845753054,476.130585869757,3.10063550094195e-20,3.0494345306883e-19
"6449","Depdc7",1.27249421227599,6.1575835132217,475.855654850696,3.12658838699836e-20,3.07259894823592e-19
"30501","Rsu1",-1.24340872899831,5.96796330128172,475.525960263814,3.15801632398708e-20,3.10110421998885e-19
"6498","Dhrs7",2.41609634528149,4.80509923943274,529.978265131734,3.17246214198777e-20,3.11290250790448e-19
"33273","Tm7sf3",2.52998796660475,4.59369612864021,497.907354771101,3.1935905991311e-20,3.13123488682035e-19
"2122","Aaas",0.968024938378336,7.02268912445534,474.226610304218,3.28519152585129e-20,3.21858282238147e-19
"26072","Nfkbid",1.86385496089004,5.1632126931692,477.036914828936,3.30900835393394e-20,3.23943822416851e-19
"20399","Kalrn",6.75550733287818,2.81775245025843,473.90069354261,3.31793943060774e-20,3.24570010763423e-19
"32033","Sox13",10.0121182899732,3.00053994054437,545.015445216881,3.39189838570521e-20,3.31551594114162e-19
"19617","Hmha1",-1.09828863187505,6.82893832012278,472.539956452296,3.45846976187757e-20,3.37800955765387e-19
"5676","Crem",2.82186030668687,4.11771313446028,471.848542790738,3.53229277897699e-20,3.44748544472563e-19
"7097","Ehd2",6.44749036804898,2.9901807663507,471.221626414379,3.60068130294105e-20,3.51155552811578e-19
"26003","Neil3",1.27248586641065,6.12158776890324,471.056080742707,3.61897464858288e-20,3.52671007420881e-19
"3092","Arhgap27",-1.56858054305975,5.34808738354091,470.893803651059,3.63700292355003e-20,3.54158345521355e-19
"8528","Gdpd5",-1.6820075111988,5.0855732263014,470.859850512695,3.64078705705251e-20,3.54257433628855e-19
"6533","Dip2a",-1.44381023419787,5.80223021280823,479.275534856234,3.71271294378405e-20,3.6098169510368e-19
"32512","Stx11",2.03050802565195,4.67251770060092,469.84226301198,3.75616775862723e-20,3.64929652118526e-19
"33718","Tor1a",-1.21912791712247,5.93426703862237,469.246110227804,3.825567700983e-20,3.71390404936219e-19
"28748","Pml",-1.23785229612843,6.07595822338237,469.110006231726,3.84160270297957e-20,3.72664565239799e-19
"26070","Nfkbia",-1.03515866135889,6.91144600981058,468.728124909883,3.88697725748439e-20,3.76780800772806e-19
"4728","Cd86",-1.55800617819075,6.40078081412224,628.032393374553,3.9106628245413e-20,3.78789995977695e-19
