"","genes","logFC","logCPM","F","PValue","FDR"
"4270","Capg",0.188016251141764,8.54269645711474,28.9324161781339,7.48661588567745e-06,0.00200698785053041
"7044","Eefsec",0.405071911081516,4.91473716400486,28.9140024899827,7.52326566383911e-06,0.00200698785053041
"31247","Slc10a7",0.279301708852447,6.53995745637291,28.7898090463735,7.77550964025108e-06,0.00202044888950792
"772","2810417H13Rik",0.191020678909763,8.67486834720726,28.7351855449231,7.88929671810978e-06,0.00202044888950792
"19638","Hnrnpc",-0.189438447084164,8.96104086294615,28.4307009273417,8.55700051330424e-06,0.00214847826613453
"27811","Osgin1",-0.292919147629238,5.96945015246075,27.8239556315427,1.00741574871708e-05,0.00248076128121582
"31964","Snx10",-0.28695357605559,6.00410157957666,27.5222584729292,1.09332102469353e-05,0.00264150485305672
"23069","Lgmn",-0.227284103360094,7.30806165931926,26.6678345734205,1.38187683271739e-05,0.00327683941536041
"2123","Aacs",0.264272560532953,7.0171763895503,26.3217440789947,1.52101218595574e-05,0.00354119291657513
"35052","Wdr1",0.165951283996934,9.56252498864222,26.1217443892517,1.60817183905484e-05,0.0036772572141245
"34602","Vma21",0.275082051236106,6.06768552009666,25.6579184009913,1.83150034290429e-05,0.00411444945454199
"32770","Taldo1",-0.190026527888515,8.93268728660477,25.1624629391683,2.10709772809412e-05,0.00465196317383538
"2819","Angptl6",-0.731975082167365,2.5653999241018,25.0870973877177,2.15276026881138e-05,0.00467221953256436
"34313","Ubtf",0.226523692637385,7.49523840692381,24.3258628235567,2.67796996146417e-05,0.00571523422609145
"4668","Cd24a",-0.170033533740061,8.57570088623022,24.0544163577964,2.89704412929698e-05,0.00608141804518818
"33084","Tfdp1",0.17366761971526,8.61395523612719,23.8282096316849,3.09423027570964e-05,0.00631600597203146
"19382","Hcls1",0.18011261508483,8.27577812992075,23.8136039761556,3.10744534352192e-05,0.00631600597203146
"30867","Selplg",0.528294550470916,5.50923817173863,23.7470810300078,3.16840163592709e-05,0.00633927858563225
"29659","Rac2",0.181547309878206,7.96105891994696,23.3082497675125,3.60391720832336e-05,0.00709971690039701
"19924","Ifit1bl1",1.53119701829689,1.55786577554683,24.5282249276517,3.84257866609445e-05,0.00745518482111203
"3980","Bst2",-0.368525489867151,5.19472941262037,22.7593612657821,4.24065260935721e-05,0.0079987573793894
"7363","Ergic1",0.249197397217412,6.47590948589107,22.7538057934404,4.24768060756329e-05,0.0079987573793894
"23586","Map3k8",-0.320314848229132,5.11700820518362,22.6667419684651,4.35946170633426e-05,0.00809027639849423
"26414","Nt5dc2",0.312350484189776,5.39020498184516,22.5901796882442,4.46035744594288e-05,0.00815926815647123
"14739","Gm36496",0.823964705815901,1.96495314042897,22.5288056878618,4.54303827271572e-05,0.00819346550452463
"8574","Ghitm",-0.173509287580215,7.95917154882441,22.4793815842251,4.61081034437623e-05,0.008200198119408
"5936","Cyb5r3",0.199309293359246,7.35893886059715,22.3380602225197,4.81062210834416e-05,0.00843835836949959
"8002","Fgd1",0.36689999109408,4.87176358792935,22.2249349648175,4.97723035923248e-05,0.00855481585500787
"35541","Zfp367",-0.183915048517381,7.38290364251684,22.2027438530814,5.01063013764616e-05,0.00855481585500787
"28121","Pcgf1",-0.411755836807299,4.03123613576839,21.9373116464187,5.42922487138395e-05,0.00900964085084686
"4268","Cap1",0.157845784321818,9.11949427709501,21.9073017151057,5.47885105064706e-05,0.00900964085084686
"25229","Mmp13",0.603654056840165,2.9404324535403,21.8789726930256,5.52614234856739e-05,0.00900964085084686
"5299","Clec7a",0.756274012530139,3.0408313472623,22.1530919890388,5.55846643668022e-05,0.00900964085084686
"19899","Ido1",-0.43546088580585,3.67455897205795,21.1097526342843,6.99227661849867e-05,0.0111920127624844
"25667","Mybl2",0.200275512950409,7.16839838469011,20.9262224512329,7.40025338546493e-05,0.0116987956297381
"20023","Ikbkap",0.252292545652165,6.31038827667935,20.8372004745675,7.6072375581552e-05,0.0118793508453875
