"","IC2_1","IC2_2","IC2_3","NQY_1","NQY_2","NQY_3"
"m08",903.090332866734,895.051239976185,914.287641801868,770.349777584493,753.953845328978,835.481942029014
"m09",373.586086416666,361.299516815353,374.978484597435,412.402142948155,408.447465053887,419.865077646784
"m10",476.245072973312,451.776202538861,490.454092375326,480.651793365631,492.815302097805,508.369520658332
"m100",1532.16607755595,1507.1351272869,1556.38277955585,1664.1297740091,1663.25164458009,1731.14690530588
"m106",58.6622780323691,56.4720253173577,61.5446920574471,49.3720875360467,59.5931547373704,59.4749857037603
"m108",53.2591734767561,40.0769211929635,43.1447325763546,42.1114864278045,62.9410847787957,50.2705236305593
"m11",98.7996261597795,102.621207297134,102.785980549551,136.499300834953,99.768315234474,116.825864775243
"m114",1566.90032112775,1454.30645844163,1525.29319284642,1396.93965322579,1333.81532850384,1369.34074227467
"m115",396.742248797864,423.236576840842,411.77840355962,431.279705829584,438.578835426715,412.78472220586
"m116",3132.25689809676,2925.00802100766,3116.57244728021,3053.80882612665,3051.30343975502,2929.85108145429
"m117",131.218253493457,146.341484962185,124.358346837728,127.060519394238,117.177551449886,129.570504568906
"m118",1475.81941576171,1348.04189467241,1441.54165313938,1472.44990475151,1368.63380093466,1481.21035824127
"m119",1001.11808694714,953.344943529587,1006.92192056875,1102.15924823116,980.943502137614,1058.51313841811
"m119.1",2381.22536486656,2257.05933445826,2353.925850857,2191.24941446748,1985.99210057349,2250.1369591256
"m119.2",4039.97846343973,3858.31450394076,3978.19813608447,3535.91273971393,3206.64739367715,3567.79110668153
"m119.3",3180.1129670179,3095.03132303841,3085.48286057077,2696.58725160114,2605.35915823717,2745.05380444618
"m119.4",382.848551369145,355.22725602854,348.964748779339,261.381639896718,301.313703728277,281.798146548769
"m12",658.406883705405,622.406730648297,595.143517009127,682.496504174763,653.515944086219,691.75072657826
"m120",83.3621845723139,103.835659454496,114.206645055056,78.4144919690153,74.3240469196417,65.8473056005918
"m120.1",1008.83680774087,1068.11067240035,1048.79769042227,839.325488112794,982.952260162469,953.01584234835
"m121",728.647242928374,729.885746574881,789.92929496414,625.863815530474,717.796200881585,673.341802431858
"m124",6.94684871435949,7.89393902285645,6.97929497558678,15.9733224381328,15.4004781905564,11.3285687054782
"m124.1",321.098785019283,296.933552475139,315.337236624239,341.974312198206,325.418800026539,344.813309972991
"m125",119.640172302858,109.907920241309,104.689424633802,124.156278950941,148.648093839283,114.701758142966
"m126",99.5714982391527,128.731928680428,129.434197729064,155.376863716382,139.943475731578,157.891926332602
"m127",253.174042034435,291.468517767007,269.654578602217,318.740388651831,301.983289736562,309.411532768372
"m129",301.030110955578,286.610709137557,286.785575360475,269.368301115784,282.565295496296,259.141009137813
"m13",1020.41488893147,940.59319587728,1006.92192056875,1213.97250529809,1033.84079679213,1043.64439199218
"m130",18.5249299049587,21.2529127538443,20.3034035653434,21.0557432139023,18.7484082319817,16.2848175141248
"m131",3227.19716385967,3147.85999188368,3214.91705829984,2975.39433415764,2610.71584630345,2922.06269046927
"m132.1",20737.1152844425,19277.6063198941,19875.1286463869,18228.4651423528,17519.0483207703,18397.5955776965
"m134",69.4684871435949,81.3682945432896,69.1584683944508,54.4545083118162,55.57563868766,87.7964074674557
"m136",757.978381944558,815.50462366894,793.736183132642,927.904821633348,964.203851930487,947.351557995611
"m137",1017.32740061398,1065.68176808562,995.501256063242,1067.3083629116,1110.84318774492,1095.33098671092
"m138",61159.2842091416,59366.6720344313,61208.4169358961,52979.1541666214,52163.4283894394,54355.1806844283
"m139",9016.23775915925,9658.53800750421,9491.84116679802,9103.34166951402,9982.18821151368,9262.52098781658
"m14",578.132187450585,610.262209074672,600.85384926188,649.097739076849,607.984095522835,649.976629476809
"m140",3140.74749096986,3534.66300400365,3378.61324954542,3179.41722529924,3830.03196739055,3516.10451196278
"m141",1448.03202090427,1547.81927455855,1503.72082655824,1476.08020530563,1781.76836804655,1561.9264102678
"m142",14619.2571833299,14468.3757767385,14594.3402753134,13697.1239906988,13399.0856117923,13638.8886858516
"m143",6580.20947665719,6529.50202405965,6398.11004852883,6284.05025918359,6387.85051903948,6258.32617423259
"m144",879.162298406163,868.940518592891,862.894651527093,960.577526620438,1004.37901242759,993.373868361616
"m145",3787.57629348467,3809.12919156758,3849.39841971682,3904.02521590181,3509.300269422,3783.7419476297
"m145.4",10.8062091112259,13.9661998096691,9.5172204212547,10.8909016623632,8.70461810770579,10.6205331613858
"m146",416.039050782196,412.913733503261,387.668111825775,409.497902504858,393.716572871616,426.945433087708
"m147",39.3654760480371,40.6841472716448,33.6275121550999,34.8508853195624,25.4442683148323,37.5258838368964
"m149",165.180624985881,171.237754188117,159.889303077079,205.475011363253,177.440292195541,207.454414419069
"m15",1791.51509622538,1743.34607189391,1784.79606966596,1712.0497413235,1762.35037380628,1855.76116106614
"m150",150.515055477789,142.090902411416,133.875567258983,161.185344602976,156.013539930419,147.271393171216
"m151",1266.64208225155,1253.92185247681,1307.6660858804,1399.11783355826,1303.68395813101,1365.80056455421
"m152",11683.0557933939,11454.1055221647,11512.0298215497,11579.9327075354,11054.1954107781,11659.9293401134
"m153",937.824576438532,884.121170559922,937.763452174297,1032.45747759204,1022.45783465129,1028.77564556623
"m154",5289.63935994507,5216.67924195075,5317.58829003571,5160.1092076277,4933.50970904433,5508.51653303875
"m154.4",12.3499532699724,7.89393902285645,12.0551458669226,11.6169617731875,14.0613061739863,9.91249761729339
"m155",9427.64557746521,9150.28977964799,9350.98630456345,8485.46451520261,8207.78528955827,8518.37563097548
"m156",127.358893096591,120.837989657572,109.765275525138,124.882339061765,113.82962140846,123.198184672075
"m157",364.323621464187,304.827491497995,345.792341972254,347.056732973975,379.655266697629,368.886518472132
"m158",189.108659446453,188.240084391192,180.827188003839,190.227749035945,197.527872444093,180.549063743558
"m159",2275.47888999242,2169.01155304948,2247.33298213894,2355.33899951376,2196.91169318328,2272.79409653655
"m16",1299.8325816646,1329.21788623329,1335.58326578274,1373.70572967942,1375.32966101751,1421.02733699342
"m160",5803.70616480767,5448.63960400699,5858.16640996298,6011.77771762451,5479.22230579665,6075.65300385675
"m161",1984.4831160687,1919.44163471148,2036.05068878709,2070.72343607066,1961.21741826694,2095.78521051346
"m162",50.9435572386363,45.5419559010949,53.2964343590263,63.1672296417068,40.1751604971036,60.1830212478527
"m163",3271.19387238395,3271.73411193466,3351.96503236591,3309.38198513678,2912.69913604001,3254.1313606486
"m164",3268.87825614583,3171.54180895225,3201.59294971008,3104.63303388435,3000.41490312536,3093.40729213963
"m165",587.394652403064,641.837965166098,607.833144237467,599.725651540802,561.782660951166,630.859669786315
"m166",13358.0182056339,12885.3373896165,13116.6331845732,12939.8432951092,12400.7328734393,12834.5603077627
"m166.5",94.9402657629131,108.086242005265,95.172204212547,116.895677842699,111.15127737532,150.103535347586
"m167",169.039985382748,194.312345178005,180.192706642422,212.009552360671,231.676758866631,220.199054212732
"m168",294171.255658267,270589.656277631,291984.515635926,251216.798345179,254910.054182106,253084.473093647
"m169",265838.919112792,255304.561425066,264094.61843212,236629.524658609,239365.614999768,234134.609791558
"m17",3744.35145703977,3640.32034169419,3610.19894646262,3710.89322642257,3599.69438054049,3873.66246172944
"m170",328.045633733643,306.649169734039,292.495907613228,344.878552641503,331.445074101105,309.411532768372
"m18",8336.99032931077,8401.58002463399,8316.14720409236,8736.68131354779,8895.45012006703,9068.51924873526
"m19",54.0310455561294,58.2937035534015,49.4895461905244,47.9199673143983,44.192676546814,55.226772439206
"m20",4386.54902707833,4274.87159391611,4306.85948129846,4248.17770843249,4134.02401515196,4277.2427218621
"m21",65.6091267467285,64.9731904188954,63.448136141698,79.8666121906638,101.107487251044,88.5044430115481
"m22",187.564915287706,221.030292639981,215.089181520356,203.296831030781,218.954624709215,210.286556595438
"m23.1",207.633589351412,213.743579695805,182.096150726673,207.653191695726,229.668000841776,196.833881257683
"m24",743.312812436466,841.008118973553,840.687803877499,913.383619416864,950.812131764786,919.738171776008
"m25.1",4126.42813632954,4007.08489321767,4104.45992700644,4296.82373585771,4136.03277317682,4163.24899926322
"m25.2",917.755902374826,910.839118021898,916.191085886119,957.673286177141,995.674394319885,898.497105453236
"m29",260.892762828168,292.075743845689,286.151093999058,288.971924108038,256.451441173178,258.43297359372
"m29.1",415.267178702823,497.318158439956,495.529943266661,497.351175914588,506.207022263506,508.369520658332
"m34.2",88.7652891279269,97.7633986676837,102.785980549551,108.909016623632,94.4116271681935,107.621402702042
"m38.5",1948.97700041752,2019.63393769389,2055.0851296296,1889.93446847543,1843.37028080877,1906.0316846967
"m69.1",21.6124182224518,34.6118864848321,35.5309562393509,34.8508853195624,32.1401283976829,28.3214217636954
"m73.5",1784.56824751102,1732.41600247765,1821.59598862815,2034.42043052945,1799.17760426196,1959.13435050363
"m84.2",175.214962017734,197.348475571411,180.192706642422,169.898065932867,205.562904543514,177.008886023096
